sender_name,sensor,read,id,source_addr,dest_endpoint,source_endpoint,cluster,profile,options,source_addr_long
rpi7,temp,nan,rx_explicit,b'\x0f\x85',b'\xe8',b'\xe8',b'\x00\x11',b'\xc1\x05',b'\x01',b'\x00\x13\xa2\x00Ac\x0e\xe8'
rpi7,temp,nan,rx_explicit,b'\x0f\x85',b'\xe8',b'\xe8',b'\x00\x11',b'\xc1\x05',b'\x01',b'\x00\x13\xa2\x00Ac\x0e\xe8'
rpi7,temp,nan,rx_explicit,b'\x0f\x85',b'\xe8',b'\xe8',b'\x00\x11',b'\xc1\x05',b'\x01',b'\x00\x13\xa2\x00Ac\x0e\xe8'
rpi7,temp,nan,rx_explicit,b'\x0f\x85',b'\xe8',b'\xe8',b'\x00\x11',b'\xc1\x05',b'\x01',b'\x00\x13\xa2\x00Ac\x0e\xe8'
rpi7,temp,nan,rx_explicit,b'\x0f\x85',b'\xe8',b'\xe8',b'\x00\x11',b'\xc1\x05',b'\x01',b'\x00\x13\xa2\x00Ac\x0e\xe8'
rpi7,temp,nan,rx_explicit,b'\x0f\x85',b'\xe8',b'\xe8',b'\x00\x11',b'\xc1\x05',b'\x01',b'\x00\x13\xa2\x00Ac\x0e\xe8'
rpi7,temp,nan,rx_explicit,b'\x0f\x85',b'\xe8',b'\xe8',b'\x00\x11',b'\xc1\x05',b'\x01',b'\x00\x13\xa2\x00Ac\x0e\xe8'
rpi7,temp,nan,rx_explicit,b'\x0f\x85',b'\xe8',b'\xe8',b'\x00\x11',b'\xc1\x05',b'\x01',b'\x00\x13\xa2\x00Ac\x0e\xe8'
rpi7,temp,nan,rx_explicit,b'\x0f\x85',b'\xe8',b'\xe8',b'\x00\x11',b'\xc1\x05',b'\x01',b'\x00\x13\xa2\x00Ac\x0e\xe8'
rpi7,temp,nan,rx_explicit,b'\x0f\x85',b'\xe8',b'\xe8',b'\x00\x11',b'\xc1\x05',b'\x01',b'\x00\x13\xa2\x00Ac\x0e\xe8'
rpi7,temp,nan,rx_explicit,b'\x0f\x85',b'\xe8',b'\xe8',b'\x00\x11',b'\xc1\x05',b'\x01',b'\x00\x13\xa2\x00Ac\x0e\xe8'
rpi7,temp,nan,rx_explicit,b'\x0f\x85',b'\xe8',b'\xe8',b'\x00\x11',b'\xc1\x05',b'\x01',b'\x00\x13\xa2\x00Ac\x0e\xe8'
rpi7,temp,nan,rx_explicit,b'\x0f\x85',b'\xe8',b'\xe8',b'\x00\x11',b'\xc1\x05',b'\x01',b'\x00\x13\xa2\x00Ac\x0e\xe8'
rpi7,temp,nan,rx_explicit,b'\x0f\x85',b'\xe8',b'\xe8',b'\x00\x11',b'\xc1\x05',b'\x01',b'\x00\x13\xa2\x00Ac\x0e\xe8'
rpi7,temp,nan,rx_explicit,b'\x0f\x85',b'\xe8',b'\xe8',b'\x00\x11',b'\xc1\x05',b'\x01',b'\x00\x13\xa2\x00Ac\x0e\xe8'
rpi7,temp,nan,rx_explicit,b'\x0f\x85',b'\xe8',b'\xe8',b'\x00\x11',b'\xc1\x05',b'\x01',b'\x00\x13\xa2\x00Ac\x0e\xe8'
rpi7,temp,nan,rx_explicit,b'\x0f\x85',b'\xe8',b'\xe8',b'\x00\x11',b'\xc1\x05',b'\x01',b'\x00\x13\xa2\x00Ac\x0e\xe8'
rpi7,temp,nan,rx_explicit,b'\x0f\x85',b'\xe8',b'\xe8',b'\x00\x11',b'\xc1\x05',b'\x01',b'\x00\x13\xa2\x00Ac\x0e\xe8'
rpi7,temp,nan,rx_explicit,b'\x0f\x85',b'\xe8',b'\xe8',b'\x00\x11',b'\xc1\x05',b'\x01',b'\x00\x13\xa2\x00Ac\x0e\xe8'
rpi7,temp,nan,rx_explicit,b'\x0f\x85',b'\xe8',b'\xe8',b'\x00\x11',b'\xc1\x05',b'\x01',b'\x00\x13\xa2\x00Ac\x0e\xe8'
rpi7,temp,nan,rx_explicit,b'\x0f\x85',b'\xe8',b'\xe8',b'\x00\x11',b'\xc1\x05',b'\x01',b'\x00\x13\xa2\x00Ac\x0e\xe8'
rpi7,temp,0.0,rx_explicit,b'\x0f\x85',b'\xe8',b'\xe8',b'\x00\x11',b'\xc1\x05',b'\x01',b'\x00\x13\xa2\x00Ac\x0e\xe8'
